,Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
0,11/21/2009 08:53:00 PM,22.0S,29.2E,38.0,32.0,3.0,-17.0,-27.0,10000000000000.0,18.0
1,01/09/2015 10:41:11 AM,2.0N,28.8E,36.0,25.0,-11.0,-8.0,12.0,139000000000.0,0.0
2,05/16/2014 12:42:48 PM,44.2S,176.2W,44.0,18.0,14.0,5.0,6.0,309000000000.0,1.0
3,08/23/2014 06:29:41 AM,61.7S,132.6E,22.0,16.0,-2.0,6.0,16.0,3820000000000.0,8.0
4,12/12/2014 06:48:11 AM,33.5N,144.9E,26.0,17.0,12.0,-3.0,-2.0,33000000000.0,0.0
5,07/29/2014 07:38:07 AM,49.2S,172.2W,32.0,21.0,1.0,-3.0,-1.0,73000000000.0,0.0
6,06/01/2013 10:49:48 PM,65.6S,138.4E,29.0,20.0,1.0,-3.0,-2.0,34000000000.0,0.0
7,02/17/2015 01:19:50 PM,8.0S,11.2W,39.0,29.0,-28.0,3.0,5.0,33000000000.0,0.0
8,10/17/2014 02:07:36 PM,4.6S,66.3W,39.0,23.0,1.0,-3.0,-1.0,72000000000.0,0.0
9,12/08/2013 03:10:09 AM,32.8N,165.1W,24.0,18.0,2.0,2.0,-11.0,64000000000.0,0.0
10,09/05/2014 09:37:26 PM,22.7N,150.0W,32.0,21.0,1.0,-3.0,-1.0,35000000000.0,0.0
11,02/25/2015 10:53:24 AM,12.4N,122.4W,42.0,24.0,1.0,-3.0,-1.0,58000000000.0,0.0
12,11/04/2014 08:13:30 PM,43.1N,115.8E,22.0,24.0,-7.0,-12.0,-8.0,156000000000.0,0.0
13,07/26/2013 11:32:26 AM,21.0N,178.5W,37.0,22.0,1.0,-3.0,-1.0,20000000000.0,0.0
