,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
0,P/2004 R1 (McNaught),54629.0,2455248.548,0.6825269429999999,4.894555854,0.626837835,295.9854497,0.9861920059999999,5.23,5.48,0.027011,0.027011,0.027011,0.027011,0.027011,20,P/2004 R1 (McNaught)
1,P/2008 S1 (Catalina-McNaught),55101.0,2454741.329,0.6663127807,15.1007464,203.6490232,111.39200290000001,1.190641555,5.95,6.74,0.194101,0.194101,0.194101,0.194101,0.194101,13,P/2008 S1 (Catalina-McNaught)
2,1P/Halley,49400.0,2446467.395,0.9671429085,162.26269059999998,111.3324851,58.42008098,0.5859781115,35.08,75.32,0.063782,2.7000000000000005e-10,1.55e-10,1.55e-10,1.55e-10,J863/77,1P/Halley
3,2P/Encke,56870.0,2456618.204,0.8482682514,11.77999525,186.5403463,334.56980560000005,0.3360923855,4.09,3.3,0.173092,1.5800000000000002e-10,-5.0500000000000005e-12,-5.0500000000000005e-12,-5.0500000000000005e-12,74,2P/Encke
4,3D/Biela,-9480.0,2390514.115,0.7512989999999999,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,3.9e-09,-2.54e-10,-2.54e-10,-2.54e-10,IAUCAT03,3D/Biela
5,5D/Brorsen,7440.0,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,1.27e-08,1.3400000000000001e-09,1.3400000000000001e-09,1.3400000000000001e-09,IAUCAT03,5D/Brorsen
6,7P/Pons-Winnecke,56981.0,2457053.028,0.6375275046,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,0.22419099999999997,7.859999999999999e-11,-1.1499999999999999e-11,-1.53e-10,131.0,K088/14,7P/Pons-Winnecke
7,8P/Tuttle,54374.0,2454492.526,0.819799747,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,0.09531,6.89e-10,1.37e-10,-4.59e-10,-4.59e-10,K074/27,8P/Tuttle
8,12P/Pons-Brooks,35000.0,2434885.381,0.9548123942,74.17689423,199.0284686,255.8911444,0.7736670873,33.47,70.85,0.1873,-1.02e-09,-2.71e-10,-2.71e-10,-2.71e-10,15,12P/Pons-Brooks
9,13P/Olbers,35760.0,2435643.635,0.9302971475,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,0.477199,9.45e-09,6.49e-10,6.49e-10,6.49e-10,10,13P/Olbers
10,15P/Finlay,57003.0,2457018.557,0.7201837656,6.798912616,347.5528394,13.7781465,0.9759007725,6.0,6.51,0.009433,4.08e-09,6.65e-11,6.65e-11,6.65e-11,K085/14,15P/Finlay
11,18D/Perrine-Mrkos,40240.0,2440162.042,0.6425809824000001,17.75898277,166.05041709999998,240.8755466,1.2722480809999999,5.85,6.72,0.28923000000000004,0.28923000000000004,0.28923000000000004,0.28923000000000004,0.28923000000000004,J682/18,18D/Perrine-Mrkos
12,20D/Westphal,20080.0,2420098.29,0.919831189,40.89006106,57.08095497,348.00644689999996,1.2540127620000001,30.03,61.87,0.468283,0.468283,0.468283,0.468283,0.468283,19,20D/Westphal
13,21P/Giacobini-Zinner,56498.0,2455969.126,0.7068178874,31.90810099,172.58442490000002,195.3970145,1.030696274,6.0,6.59,0.035394999999999996,3.3500000000000002e-09,-4.29e-10,-9.57e-10,-32.8,K123/6,21P/Giacobini-Zinner
14,23P/Brorsen-Metcalf,47800.0,2447781.437,0.9719522579000001,19.33394047,129.6106837,311.5854622,0.47875271070000003,33.66,70.52,0.19387200000000002,2.25e-09,-5.33e-10,-5.33e-10,-5.33e-10,13,23P/Brorsen-Metcalf
15,24P/Schaumasse,52120.0,2452032.161,0.7048003556999999,11.75152976,57.87449255,79.83103829999999,1.205010042,6.96,8.25,0.28218000000000004,1.1e-09,-5.86e-10,-5.86e-10,-5.86e-10,K014/19,24P/Schaumasse
16,26P/Grigg-Skjellerup,56978.0,2456479.559,0.6402771379,22.42889388,2.146692288,211.53755479999998,1.0852477809999999,4.95,5.24,0.079476,1.13e-10,-1.05e-11,-1.05e-11,-1.05e-11,K139/6,26P/Grigg-Skjellerup
17,27P/Crommelin,56364.0,2455777.391,0.9189810923,28.96687279,196.0253969,250.62640980000003,0.7482874670999999,17.72,28.07,0.215189,-3.6499999999999996e-08,-1.71e-09,2.0800000000000003e-09,2.0800000000000003e-09,K113/4,27P/Crommelin
